AR                 0   136.500     3.330     0.000     0.000     0.000
C                  0    71.400     3.298     0.000     0.000     0.000 ! *      
C2H                1   209.000     4.100     0.000     0.000     2.500          
C2H2               1   209.000     4.100     0.000     0.000     2.500          
C2H3               2   209.000     4.100     0.000     0.000     1.000 ! *      
C2H4               2   280.800     3.971     0.000     0.000     1.500          
C2H4O              2   470.600     4.410     0.000     0.000     1.500 ! = C2H5O
C2H5               2   252.300     4.302     0.000     0.000     1.500          
C2H6               2   252.300     4.302     0.000     0.000     1.500          
C2N2               1   349.000     4.361     0.000     0.000     1.000 ! OIS
CH                 1    80.000     2.750     0.000     0.000     0.000         
CH2                1   144.000     3.800     0.000     0.000     0.000          
CH2(S)             1   144.000     3.800     0.000     0.000     0.000          
CH2CHO             2   436.000     3.970     0.000     0.000     2.000          
CH2CO              2   436.000     3.970     0.000     0.000     2.000          
CH2NH              2   417.000     3.690     1.700     0.000     2.000 ! = CH2OH
CH2O               2   498.000     3.590     0.000     0.000     2.000          
CH2OH              2   417.000     3.690     1.700     0.000     2.000          
CH3                1   144.000     3.800     0.000     0.000     0.000          
CH3CHO             2   436.000     3.970     0.000     0.000     2.000
CH3NH              2   481.800     3.626     0.000     0.000     1.000 ! = CH3OH
CH3NHNH2           2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3CH2NH2
CH3NN              2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3NHCH3
CH3NNCH3           2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3NHCH3
CH3NNH             2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3NHCH3
CH3NNH2            2   436.000     3.970     0.000     0.000     2.000 ! = CH3CHO = CH3NHCH3
CH3NO              2   436.000     3.970     0.000     0.000     2.000 ! = CH3CO
CH3NO2             2   232.400     3.828     0.000     0.000     1.000 !refered to NCNO
CH3O               2   417.000     3.690     1.700     0.000     2.000          
CH3OH              2   481.800     3.626     0.000     0.000     1.000 ! SVE    
CH3ONO             2   232.400     3.828     0.000     0.000     1.000 !refered to NCNO
CH3ONO2            2   459.500     5.036     1.700     0.000     1.000 !wjp 
CH4                2   141.400     3.746     0.000     2.600    13.000          
CN                 1    75.000     3.856     0.000     0.000     1.000 ! OIS 
CO                 1    98.100     3.650     0.000     1.950     1.800          
CO2                1   244.000     3.763     0.000     2.650     2.100          
H                  0   145.000     2.050     0.000     0.000     0.000          
H2                 1    38.000     2.920     0.000     0.790   280.000       
H2CN               1   569.000     3.630     0.000     0.000     1.000 ! os/jm
H2CNO2             2   307.800     4.140     0.000     0.000     1.000 ! = c3h6 = CH2CNH2
H2O                2   572.400     2.605     1.844     0.000     4.000          
H2O2               2   107.400     3.458     0.000     0.000     3.800         
HCCO               2   150.000     2.500     0.000     0.000     1.000 ! *      
HCCOH              2   436.000     3.970     0.000     0.000     2.000          
HCN                1   569.000     3.630     0.000     0.000     1.000 !(OIS)
HCNO               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HCO                2   498.000     3.590     0.000     0.000     0.000             
HNC                1   569.000     3.630     0.000     0.000     1.000 ! = HCN 
HNCO               2   232.400     3.828     0.000     0.000     1.000 ! OIS
HNNO               2   232.400     3.828     0.000     0.000     1.000 ! *
HNO                2   170.000     3.430     1.620     0.000     1.000 ! CJP
HNO2               2   350.000     3.950     1.639     0.000     1.000 ! = HONO
HNO3               2   350.000     3.950     1.639     0.000     1.000 ! = HONO
HNOH               2   116.700     3.492     0.000     0.000     1.000 ! JAM
HO2                2   107.400     3.458     0.000     0.000     1.000 ! *   
HOCN               2   232.400     3.828     0.000     0.000     1.000 ! JAM
HOCO               2   232.400     3.828     0.000     0.000     1.000 ! = HOCN
HONO               2   350.000     3.950     1.639     0.000     1.000 ! CJP
O                  0    80.000     2.750     0.000     0.000     0.000
O2                 1   107.400     3.458     0.000     1.600     3.800
